"References","Quantity","Value or Description","Footprint or Package","Manufacturer","MPN","Supplier","Source URL","Estimated Unit Cost USD","Datasheet","Notes","Evidence Status"
"C1-C9","9","100nF 16V X7R 10%","Capacitor_SMD:C_0805_2012Metric","Murata Manufacturing Co., Ltd.","GRM21BR71C104KA01L","authorized distributor TBD before order","https://pim.murata.com/en-global/pim/details/?partNum=GRM21BR71C104KA01L","UNKNOWN","https://pim.murata.com/en-global/pim/details/?partNum=GRM21BR71C104KA01L","C1-C8 at U2-U9 VDD pins; C9 at REF3318 input. Place directly at supply pins.","manufacturer-datasheet-backed static selection; not bench validated"
"C10","1","1uF 16V X7R 10%","Capacitor_SMD:C_0805_2012Metric","Murata Manufacturing Co., Ltd.","GRM21BR71C105KA01L","authorized distributor TBD before order","https://pim.murata.com/en-global/pim/details/?partNum=GRM21BR71C105KA01L","UNKNOWN","https://pim.murata.com/en-global/pim/details/?partNum=GRM21BR71C105KA01L","REF3318 output/bias reservoir. Confirm latest TI stability guidance during schematic review.","manufacturer-datasheet-backed static selection; not bench validated"
"D1-D32","32","BAS70-04 dual-series clamp","Package_TO_SOT_SMD:SOT-23","Nexperia B.V.","BAS70-04,215","manufacturer/direct or authorized distributor","https://www.nexperia.com/product/BAS70-04","UNKNOWN","https://assets.nexperia.com/documents/data-sheet/BAS70-04.pdf","Pin 3 is the protected node, pin 1 GND, pin 2 +3V3. Verify this dual-series pin map; do not substitute common-anode/common-cathode variants.","manufacturer-datasheet-backed static selection; not bench validated"
"D33-D40","8","TPD4E1U06 quad ESD","Package_TO_SOT_SMD:SOT-363_SC-70-6","Texas Instruments","TPD4E1U06DCKR","DigiKey","https://www.digikey.com/en/products/detail/texas-instruments/TPD4E1U06DCKR/5143299","UNKNOWN","https://www.ti.com/lit/ds/symlink/tpd4e1u06.pdf","One device per four protected internal endpoint nodes, after the 10 kOhm connector series resistors. Place with a short direct ground return. ESD treatment does not authorize energized testing.","manufacturer-datasheet-backed static selection; not bench validated"
"D41","1","READY green","LED_SMD:LED_0805_2012Metric","Kingbright Electronic Co., Ltd.","APT2012LZGCK","DigiKey","https://www.digikey.com/en/products/detail/kingbright/APT2012LZGCK/5177440","UNKNOWN","https://www.kingbrightusa.com/images/catalog/spec/APT2012LZGCK.pdf","Silkscreen text READY and a distinct ready icon are required; color alone is not status. Verify cathode marking.","manufacturer-datasheet-backed static selection; not bench validated"
"D42","1","FAULT red","LED_SMD:LED_0805_2012Metric","Kingbright Electronic Co., Ltd.","APTD2012LSURCK","DigiKey","https://www.digikey.com/en/products/detail/kingbright/APTD2012LSURCK/7043074","UNKNOWN","https://www.kingbrightusa.com/images/catalog/spec/APTD2012LSURCK.pdf","Silkscreen text FAULT and a distinct fault icon are required; do not reuse READY's non-color cue. Verify cathode marking.","manufacturer-datasheet-backed static selection; not bench validated"
"J1","1","Bank A Micro-Fit 16","Connector_Molex:Molex_Micro-Fit_3.0_43045-1600_2x08_P3.00mm_Horizontal","Molex, LLC","43045-1600","authorized distributor TBD before order","https://www.molex.com/en-us/products/part-detail/430451600","UNKNOWN","https://www.molex.com/en-us/products/part-detail/430451600","J1 Bank A and J2 Bank B. Silkscreen must show bank, A:01-A:16/B:01-B:16 sequence, mating-face drawing direction, key, and pin 1. Verify connector drawing pad numbering in issue #3.","manufacturer-datasheet-backed static selection; not bench validated"
"J2","1","Bank B Micro-Fit 16","Connector_Molex:Molex_Micro-Fit_3.0_43045-1600_2x08_P3.00mm_Horizontal","Molex, LLC","43045-1600","authorized distributor TBD before order","https://www.molex.com/en-us/products/part-detail/430451600","UNKNOWN","https://www.molex.com/en-us/products/part-detail/430451600","J1 Bank A and J2 Bank B. Silkscreen must show bank, A:01-A:16/B:01-B:16 sequence, mating-face drawing direction, key, and pin 1. Verify connector drawing pad numbering in issue #3.","manufacturer-datasheet-backed static selection; not bench validated"
"J3","1","Keyed Cortex 10-pin SWD","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD","Samtec, Inc.","FTSH-105-01-L-DV-K","DigiKey","https://www.digikey.com/en/products/detail/samtec-inc/FTSH-105-01-L-DV-K/1875039","UNKNOWN","https://www.samtec.com/products/ftsh-105-01-l-dv-k","Controller-only SWD/recovery. VTREF is sense-only from 3V3; do not accept debugger power and do not expose any test-bank power path.","manufacturer-datasheet-backed static selection; not bench validated"
"R1-R32","32","10k 1%","Resistor_SMD:R_0805_2012Metric","Vishay Dale","CRCW080510K0FKEA","DigiKey","https://www.digikey.com/en/products/detail/vishay-dale/CRCW080510K0FKEA/1175751","UNKNOWN","https://www.vishay.com/docs/20035/dcrcwe3.pdf","Exactly one resistor at each connector entry before the protected internal node. Do not bypass on adapters. Standard-mode ratings used: 0.125 W and 150 V.","manufacturer-datasheet-backed static selection; not bench validated"
"R33-R74,R76","43","100k 1%","Resistor_SMD:R_0805_2012Metric","Vishay Dale","CRCW0805100KFKEA","authorized distributor TBD before order","https://www.vishay.com/docs/20035/dcrcwe3.pdf","UNKNOWN","https://www.vishay.com/docs/20035/dcrcwe3.pdf","R33-R64 endpoint node to BIAS; R65-R70 six enable-net pulldowns; R71-R73 address pulldowns; R74 STIM pulldown; R76 START_CANCEL_N pullup. Preserve active-drive EN defaults low.","manufacturer-datasheet-backed static selection; not bench validated"
"R75,R77,R78","3","1k 1%","Resistor_SMD:R_0805_2012Metric","Vishay Dale","CRCW08051K00FKEA","DigiKey","https://www.digikey.com/en/products/detail/vishay-dale/CRCW08051K00FKEA/1180783","UNKNOWN","https://www.vishay.com/docs/20035/dcrcwe3.pdf","R75 feeds REF3318 output to BIAS; BIAS_CTRL may pull low or be high-Z only. R77/R78 limit READY/FAULT LED current.","manufacturer-datasheet-backed static selection; not bench validated"
"SW1","1","START/CANCEL SPST-NO","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","C&K (Littelfuse)","PTS636SK25FSMTRLFS","DigiKey","https://www.digikey.com/en/products/detail/c-k/PTS636SK25FSMTR-LFS/10071743","UNKNOWN","https://www.ckswitches.com/media/2779/pts636.pdf","Single deliberate local control; label START/CANCEL. Latest PDF requires manual retrieval because automated download returned HTTP 403.","manufacturer-datasheet-backed static selection; not bench validated"
"TP1","1","VBUS","TestPoint:TestPoint_Keystone_5015_Micro-Minature","Keystone Electronics Corp.","5015","DigiKey","https://www.digikey.com/en/products/detail/keystone-electronics/5015/278885","UNKNOWN","https://www.keyelco.com/pdfs/p33.pdf","Reserve named points for VBUS, 3V3, GND, ADC_REF_1V8, BIAS, STIM, a drive-enable control, READY, FAULT, A:01 internal, B:01 internal, and RUN/reset. Issue #3 may add points but must not remove required coverage.","manufacturer-datasheet-backed static selection; not bench validated"
"TP2","1","+3V3","TestPoint:TestPoint_Keystone_5015_Micro-Minature","Keystone Electronics Corp.","5015","DigiKey","https://www.digikey.com/en/products/detail/keystone-electronics/5015/278885","UNKNOWN","https://www.keyelco.com/pdfs/p33.pdf","Reserve named points for VBUS, 3V3, GND, ADC_REF_1V8, BIAS, STIM, a drive-enable control, READY, FAULT, A:01 internal, B:01 internal, and RUN/reset. Issue #3 may add points but must not remove required coverage.","manufacturer-datasheet-backed static selection; not bench validated"
"TP3","1","GND","TestPoint:TestPoint_Keystone_5015_Micro-Minature","Keystone Electronics Corp.","5015","DigiKey","https://www.digikey.com/en/products/detail/keystone-electronics/5015/278885","UNKNOWN","https://www.keyelco.com/pdfs/p33.pdf","Reserve named points for VBUS, 3V3, GND, ADC_REF_1V8, BIAS, STIM, a drive-enable control, READY, FAULT, A:01 internal, B:01 internal, and RUN/reset. Issue #3 may add points but must not remove required coverage.","manufacturer-datasheet-backed static selection; not bench validated"
"TP4","1","ADC_REF_1V8","TestPoint:TestPoint_Keystone_5015_Micro-Minature","Keystone Electronics Corp.","5015","DigiKey","https://www.digikey.com/en/products/detail/keystone-electronics/5015/278885","UNKNOWN","https://www.keyelco.com/pdfs/p33.pdf","Reserve named points for VBUS, 3V3, GND, ADC_REF_1V8, BIAS, STIM, a drive-enable control, READY, FAULT, A:01 internal, B:01 internal, and RUN/reset. Issue #3 may add points but must not remove required coverage.","manufacturer-datasheet-backed static selection; not bench validated"
"TP5","1","BIAS","TestPoint:TestPoint_Keystone_5015_Micro-Minature","Keystone Electronics Corp.","5015","DigiKey","https://www.digikey.com/en/products/detail/keystone-electronics/5015/278885","UNKNOWN","https://www.keyelco.com/pdfs/p33.pdf","Reserve named points for VBUS, 3V3, GND, ADC_REF_1V8, BIAS, STIM, a drive-enable control, READY, FAULT, A:01 internal, B:01 internal, and RUN/reset. Issue #3 may add points but must not remove required coverage.","manufacturer-datasheet-backed static selection; not bench validated"
"TP6","1","STIM","TestPoint:TestPoint_Keystone_5015_Micro-Minature","Keystone Electronics Corp.","5015","DigiKey","https://www.digikey.com/en/products/detail/keystone-electronics/5015/278885","UNKNOWN","https://www.keyelco.com/pdfs/p33.pdf","Reserve named points for VBUS, 3V3, GND, ADC_REF_1V8, BIAS, STIM, a drive-enable control, READY, FAULT, A:01 internal, B:01 internal, and RUN/reset. Issue #3 may add points but must not remove required coverage.","manufacturer-datasheet-backed static selection; not bench validated"
"TP7","1","DRV_A_LO_EN","TestPoint:TestPoint_Keystone_5015_Micro-Minature","Keystone Electronics Corp.","5015","DigiKey","https://www.digikey.com/en/products/detail/keystone-electronics/5015/278885","UNKNOWN","https://www.keyelco.com/pdfs/p33.pdf","Reserve named points for VBUS, 3V3, GND, ADC_REF_1V8, BIAS, STIM, a drive-enable control, READY, FAULT, A:01 internal, B:01 internal, and RUN/reset. Issue #3 may add points but must not remove required coverage.","manufacturer-datasheet-backed static selection; not bench validated"
"TP8","1","READY_LED","TestPoint:TestPoint_Keystone_5015_Micro-Minature","Keystone Electronics Corp.","5015","DigiKey","https://www.digikey.com/en/products/detail/keystone-electronics/5015/278885","UNKNOWN","https://www.keyelco.com/pdfs/p33.pdf","Reserve named points for VBUS, 3V3, GND, ADC_REF_1V8, BIAS, STIM, a drive-enable control, READY, FAULT, A:01 internal, B:01 internal, and RUN/reset. Issue #3 may add points but must not remove required coverage.","manufacturer-datasheet-backed static selection; not bench validated"
"TP9","1","FAULT_LED","TestPoint:TestPoint_Keystone_5015_Micro-Minature","Keystone Electronics Corp.","5015","DigiKey","https://www.digikey.com/en/products/detail/keystone-electronics/5015/278885","UNKNOWN","https://www.keyelco.com/pdfs/p33.pdf","Reserve named points for VBUS, 3V3, GND, ADC_REF_1V8, BIAS, STIM, a drive-enable control, READY, FAULT, A:01 internal, B:01 internal, and RUN/reset. Issue #3 may add points but must not remove required coverage.","manufacturer-datasheet-backed static selection; not bench validated"
"TP10","1","A:01_NODE","TestPoint:TestPoint_Keystone_5015_Micro-Minature","Keystone Electronics Corp.","5015","DigiKey","https://www.digikey.com/en/products/detail/keystone-electronics/5015/278885","UNKNOWN","https://www.keyelco.com/pdfs/p33.pdf","Reserve named points for VBUS, 3V3, GND, ADC_REF_1V8, BIAS, STIM, a drive-enable control, READY, FAULT, A:01 internal, B:01 internal, and RUN/reset. Issue #3 may add points but must not remove required coverage.","manufacturer-datasheet-backed static selection; not bench validated"
