Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 16V X7R 10%","C_0805_2012Metric",29.000000,-60.000000,90.000000,top
"C2","100nF 16V X7R 10%","C_0805_2012Metric",32.700000,-60.000000,90.000000,top
"C3","100nF 16V X7R 10%","C_0805_2012Metric",36.400000,-60.000000,90.000000,top
"C4","100nF 16V X7R 10%","C_0805_2012Metric",40.100000,-60.000000,90.000000,top
"C5","100nF 16V X7R 10%","C_0805_2012Metric",43.800000,-60.000000,90.000000,top
"C6","100nF 16V X7R 10%","C_0805_2012Metric",47.500000,-60.000000,90.000000,top
"C7","100nF 16V X7R 10%","C_0805_2012Metric",51.200000,-60.000000,90.000000,top
"C8","100nF 16V X7R 10%","C_0805_2012Metric",54.900000,-60.000000,90.000000,top
"C9","100nF 16V X7R 10%","C_0805_2012Metric",67.500000,-60.000000,90.000000,top
"C10","1uF 16V X7R 10%","C_0805_2012Metric",71.000000,-60.000000,90.000000,top
"D1","BAS70-04 dual-series clamp","SOT-23",26.500000,-26.500000,90.000000,top
"D2","BAS70-04 dual-series clamp","SOT-23",26.600000,-22.000000,90.000000,top
"D3","BAS70-04 dual-series clamp","SOT-23",33.700000,-26.500000,90.000000,top
"D4","BAS70-04 dual-series clamp","SOT-23",37.800000,-26.000000,90.000000,top
"D5","BAS70-04 dual-series clamp","SOT-23",41.900000,-25.500000,90.000000,top
"D6","BAS70-04 dual-series clamp","SOT-23",46.000000,-22.000000,90.000000,top
"D7","BAS70-04 dual-series clamp","SOT-23",48.100000,-26.500000,90.000000,top
"D8","BAS70-04 dual-series clamp","SOT-23",52.200000,-26.000000,90.000000,top
"D9","BAS70-04 dual-series clamp","SOT-23",26.500000,-31.000000,90.000000,top
"D10","BAS70-04 dual-series clamp","SOT-23",26.600000,-35.500000,90.000000,top
"D11","BAS70-04 dual-series clamp","SOT-23",33.700000,-31.000000,90.000000,top
"D12","BAS70-04 dual-series clamp","SOT-23",37.800000,-30.500000,90.000000,top
"D13","BAS70-04 dual-series clamp","SOT-23",41.900000,-30.000000,90.000000,top
