Retrieved_UTC,Manufacturer,MPN,Role,Lifecycle_Evidence,Availability_Evidence,Observed_Quantity,Observed_Unit_Price_USD,Source_URL,Required_Action
2026-09-01,Raspberry Pi Ltd,SC0915,controller module,current manufacturer product portal and datasheet; no EOL notice observed,public DigiKey product listing present,NOT_CAPTURED,NOT_CAPTURED,https://www.digikey.com/en/products/detail/raspberry-pi/SC0915/13624793,recheck stock and quantity price before order
2026-09-01,Texas Instruments,TMUX1108PWR,8-channel stimulus/sense mux,current TI buy page and Feb-2024 datasheet; no EOL notice observed,DigiKey page says buy now/ships today; LCSC public listing says in stock,NOT_CAPTURED,1.7022_FROM_LCSC_SEARCH_SNIPPET,https://www.digikey.com/en/products/detail/texas-instruments/TMUX1108PWR/9861450,recheck authorized stock and quantity price before order
2026-09-01,Texas Instruments,TPD4E1U06DCKR,4-channel endpoint ESD array,current TI buy page and datasheet; no EOL notice observed,DigiKey page exposes pricing and availability,NOT_CAPTURED,NOT_CAPTURED,https://www.digikey.com/en/products/detail/texas-instruments/TPD4E1U06DCKR/5143299,recheck stock and quantity price before order
2026-09-01,Nexperia B.V.,"BAS70-04,215",dual low-leakage endpoint rail clamp,current Nexperia product page and datasheet; no EOL notice observed,exact Nexperia distributor quantity was not captured,NOT_CAPTURED,NOT_CAPTURED,https://www.nexperia.com/product/BAS70-04,recheck exact packing-code stock before order
2026-09-01,Texas Instruments,REF3318AIDBZR,1.8 V bias and ADC diagnostic reference,current TI buy page and Apr-2026 datasheet; no EOL notice observed,DigiKey page says order today/ships today,NOT_CAPTURED,NOT_CAPTURED,https://www.digikey.com/en/products/detail/texas-instruments/REF3318AIDBZR/1900126,recheck stock and quantity price before order
2026-09-01,Vishay Dale,CRCW080510K0FKEA,10 kOhm endpoint current-limit resistor,current Vishay Apr-2026 series datasheet; no EOL notice observed,DigiKey product page exposes pricing and availability,NOT_CAPTURED,NOT_CAPTURED,https://www.digikey.com/en/products/detail/vishay-dale/CRCW080510K0FKEA/1175751,recheck stock and quantity price before order
2026-09-01,Vishay Dale,CRCW0805100KFKEA,100 kOhm bias/control resistor,current Vishay Apr-2026 series datasheet; no EOL notice observed,exact public quantity was not captured,NOT_CAPTURED,NOT_CAPTURED,https://www.vishay.com/docs/20035/dcrcwe3.pdf,recheck exact MPN stock before order
2026-09-01,Vishay Dale,CRCW08051K00FKEA,1 kOhm bias-feed and LED resistor,current Vishay Apr-2026 series datasheet; no EOL notice observed,DigiKey product page exposes pricing and availability,NOT_CAPTURED,NOT_CAPTURED,https://www.digikey.com/en/products/detail/vishay-dale/CRCW08051K00FKEA/1180783,recheck stock and quantity price before order
2026-09-01,Murata Manufacturing Co. Ltd.,GRM21BR71C104KA01L,100 nF decoupling capacitor,current Murata official product record; formal lifecycle status not API-audited,public distributor quantity not captured,NOT_CAPTURED,NOT_CAPTURED,https://pim.murata.com/en-global/pim/details/?partNum=GRM21BR71C104KA01L,recheck lifecycle stock and quantity price before order
2026-09-01,Murata Manufacturing Co. Ltd.,GRM21BR71C105KA01L,1 uF reference output capacitor,current Murata official product record; formal lifecycle status not API-audited,public distributor quantity not captured,NOT_CAPTURED,NOT_CAPTURED,https://pim.murata.com/en-global/pim/details/?partNum=GRM21BR71C105KA01L,recheck lifecycle stock and quantity price before order
2026-09-01,Molex LLC,43045-1600,16-circuit keyed board header,current official product page; no EOL notice observed,public Molex and distributor product records present,NOT_CAPTURED,NOT_CAPTURED,https://www.molex.com/en-us/products/part-detail/430451600,recheck stock and quantity price before order
2026-09-01,Molex LLC,43025-1600,16-circuit mating housing,official product/search record explicitly reports Active,DigiKey product page exposes pricing and availability,NOT_CAPTURED,NOT_CAPTURED,https://www.digikey.com/en/products/detail/molex/0430251600/WM2490-ND/531406,recheck stock and quantity price before order
2026-09-01,Molex LLC,43030-0007,20-24 AWG mating crimp terminal,current official product page; no EOL notice observed,Molex page reports no partner stock captured in one locale,0_NOT_AUTHORIZED_STOCK_PROOF,NOT_CAPTURED,https://www.molex.com/en-us/products/part-detail/430300007,recheck authorized stock or select validated reel alternative before order
2026-09-01,C&K (Littelfuse),PTS636SK25FSMTRLFS,start/cancel tactile switch,current manufacturer product page; PDF automated download blocked,DigiKey page says buy now/ships today,NOT_CAPTURED,NOT_CAPTURED,https://www.digikey.com/en/products/detail/c-k/PTS636SK25FSMTR-LFS/10071743,recheck stock and manually inspect latest PDF before schematic freeze
2026-09-01,Kingbright Electronic Co. Ltd.,APT2012LZGCK,READY green LED,current manufacturer product page and datasheet; no EOL notice observed,DigiKey product page exposes pricing and availability,NOT_CAPTURED,NOT_CAPTURED,https://www.digikey.com/en/products/detail/kingbright/APT2012LZGCK/5177440,recheck stock and quantity price before order
